,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
32,1200-1600,1,0.5-1.0,0,0.0-5.0,1,40-60,0.8-1.0,80-120,1,15.0-20.0,0-500,800-1200,2000-3000,17-20,0.0-5.0,0.0-5.0,1,1,1,1
33,1200-1600,1,2.0-2.5,1,0.0-5.0,1,40-60,0.4-0.6,80-120,4,0.0-5.0,0-500,1600-2000,3000-4000,5-8,0.0-5.0,10.0-15.0,1,1,0,3
34,400-800,1,2.5-3.0,0,0.0-5.0,0,20-40,0.6-0.8,120-160,8,0.0-5.0,0-500,800-1200,1000-2000,11-14,0.0-5.0,10.0-15.0,1,0,0,0
35,400-800,0,1.0-1.5,1,15.0-20.0,0,40-60,0.2-0.4,120-160,8,15.0-20.0,1000-1500,1200-1600,1000-2000,8-11,0.0-5.0,10.0-15.0,1,0,0,1
36,400-800,1,2.0-2.5,1,0.0-5.0,0,60-80,0.4-0.6,120-160,4,5.0-10.0,0-500,800-1200,2000-3000,11-14,5.0-10.0,0.0-5.0,1,0,1,1
37,1600-2000,1,1.5-2.0,1,5.0-10.0,1,0-20,0.4-0.6,80-120,2,15.0-20.0,500-1000,1200-1600,3000-4000,5-8,0.0-5.0,0.0-5.0,1,1,0,3
38,400-800,0,1.5-2.0,1,15.0-20.0,1,0-20,0.2-0.4,80-120,6,15.0-20.0,0-500,400-800,3000-4000,5-8,0.0-5.0,0.0-5.0,1,0,1,2
39,400-800,0,0.5-1.0,1,10.0-15.0,0,40-60,0.2-0.4,120-160,2,15.0-20.0,1000-1500,1600-2000,2000-3000,17-20,10.0-15.0,10.0-15.0,1,1,0,2
40,1200-1600,0,2.5-3.0,0,0.0-5.0,0,40-60,0.4-0.6,120-160,1,10.0-15.0,0-500,800-1200,2000-3000,17-20,0.0-5.0,10.0-15.0,1,0,1,2
41,1600-2000,1,2.0-2.5,0,5.0-10.0,1,40-60,0-0.2,160-200,2,5.0-10.0,1500-2000,1600-2000,3000-4000,17-20,5.0-10.0,15.0-20.0,1,1,0,3
42,1200-1600,1,0.5-1.0,1,0.0-5.0,1,0-20,0-0.2,120-160,2,15.0-20.0,500-1000,400-800,1000-2000,14-17,0.0-5.0,0.0-5.0,1,1,0,1
43,1600-2000,0,0.5-1.0,0,0.0-5.0,1,20-40,0-0.2,160-200,3,5.0-10.0,500-1000,1200-1600,1000-2000,14-17,10.0-15.0,10.0-15.0,1,1,0,1
44,800-1200,1,2.5-3.0,0,0.0-5.0,1,0-20,0.6-0.8,80-120,2,10.0-15.0,1500-2000,1600-2000,0-1000,8-11,0.0-5.0,10.0-15.0,1,1,0,0
45,1200-1600,0,2.5-3.0,0,0.0-5.0,0,20-40,0-0.2,80-120,3,0.0-5.0,0-500,1600-2000,1000-2000,5-8,0.0-5.0,15.0-20.0,0,1,1,1
46,1600-2000,1,1.0-1.5,1,0.0-5.0,0,40-60,0.8-1.0,160-200,8,10.0-15.0,0-500,1600-2000,3000-4000,8-11,0.0-5.0,0.0-5.0,1,0,0,3
47,800-1200,1,1.5-2.0,1,0.0-5.0,1,20-40,0.6-0.8,160-200,7,5.0-10.0,0-500,400-800,2000-3000,14-17,10.0-15.0,10.0-15.0,1,0,1,1
48,400-800,1,2.5-3.0,1,0.0-5.0,1,40-60,0-0.2,160-200,8,5.0-10.0,1000-1500,1200-1600,1000-2000,14-17,0.0-5.0,0.0-5.0,1,0,1,0
49,400-800,0,2.0-2.5,1,5.0-10.0,0,60-80,0.6-0.8,80-120,8,10.0-15.0,500-1000,1600-2000,3000-4000,14-17,10.0-15.0,5.0-10.0,0,0,0,3
50,1200-1600,1,2.5-3.0,1,0.0-5.0,1,0-20,0.6-0.8,160-200,3,15.0-20.0,1000-1500,1600-2000,2000-3000,5-8,0.0-5.0,10.0-15.0,1,0,1,2
51,1600-2000,0,1.0-1.5,1,0.0-5.0,0,60-80,0.6-0.8,120-160,8,15.0-20.0,1000-1500,1200-1600,2000-3000,17-20,10.0-15.0,15.0-20.0,0,1,0,2
52,1600-2000,1,1.0-1.5,1,0.0-5.0,1,40-60,0.2-0.4,80-120,2,0.0-5.0,500-1000,400-800,3000-4000,11-14,0.0-5.0,5.0-10.0,1,1,0,3
53,1200-1600,0,1.5-2.0,1,0.0-5.0,1,0-20,0.2-0.4,80-120,3,5.0-10.0,1000-1500,1200-1600,1000-2000,14-17,5.0-10.0,10.0-15.0,1,0,1,1
54,800-1200,1,0.5-1.0,1,0.0-5.0,0,40-60,0.4-0.6,120-160,7,0.0-5.0,500-1000,800-1200,2000-3000,5-8,0.0-5.0,15.0-20.0,0,1,0,2
55,1600-2000,0,2.0-2.5,1,5.0-10.0,1,40-60,0.4-0.6,80-120,3,15.0-20.0,500-1000,800-1200,2000-3000,11-14,5.0-10.0,10.0-15.0,1,0,0,2
56,800-1200,1,2.5-3.0,1,10.0-15.0,0,40-60,0.4-0.6,120-160,8,15.0-20.0,500-1000,1200-1600,0-1000,11-14,10.0-15.0,15.0-20.0,1,1,1,0
57,800-1200,0,1.0-1.5,1,0.0-5.0,1,60-80,0.2-0.4,80-120,3,5.0-10.0,500-1000,800-1200,3000-4000,8-11,0.0-5.0,15.0-20.0,1,0,1,3
58,1600-2000,0,0.5-1.0,0,5.0-10.0,0,40-60,0.4-0.6,160-200,6,10.0-15.0,0-500,400-800,2000-3000,5-8,0.0-5.0,0.0-5.0,0,0,0,1
59,800-1200,0,1.0-1.5,1,0.0-5.0,1,40-60,0.8-1.0,120-160,5,0.0-5.0,0-500,400-800,2000-3000,14-17,10.0-15.0,5.0-10.0,1,1,1,2
60,1200-1600,0,2.5-3.0,0,0.0-5.0,0,0-20,0.4-0.6,120-160,3,0.0-5.0,500-1000,800-1200,1000-2000,11-14,0.0-5.0,15.0-20.0,1,1,0,1
61,400-800,1,2.0-2.5,0,0.0-5.0,1,60-80,0.6-0.8,120-160,8,5.0-10.0,0-500,800-1200,0-1000,14-17,5.0-10.0,5.0-10.0,1,1,1,0
62,800-1200,1,1.0-1.5,1,0.0-5.0,1,40-60,0.6-0.8,120-160,2,0.0-5.0,0-500,400-800,0-1000,5-8,0.0-5.0,10.0-15.0,1,1,0,0
63,1600-2000,0,1.5-2.0,0,10.0-15.0,1,40-60,0.4-0.6,160-200,2,15.0-20.0,500-1000,1200-1600,2000-3000,11-14,0.0-5.0,0.0-5.0,1,1,1,2
64,400-800,0,2.5-3.0,1,0.0-5.0,1,0-20,0.6-0.8,120-160,3,0.0-5.0,500-1000,1200-1600,2000-3000,8-11,0.0-5.0,15.0-20.0,1,0,0,2
65,400-800,0,1.5-2.0,1,10.0-15.0,1,40-60,0.6-0.8,80-120,3,15.0-20.0,500-1000,1600-2000,3000-4000,17-20,5.0-10.0,10.0-15.0,1,1,0,3
66,1200-1600,1,0.5-1.0,0,10.0-15.0,1,20-40,0.2-0.4,120-160,4,10.0-15.0,1500-2000,1600-2000,3000-4000,8-11,0.0-5.0,0.0-5.0,1,1,0,3
67,1600-2000,0,1.0-1.5,0,0.0-5.0,0,20-40,0.4-0.6,160-200,3,0.0-5.0,0-500,1600-2000,3000-4000,14-17,10.0-15.0,5.0-10.0,0,0,0,3
68,1200-1600,0,1.0-1.5,1,0.0-5.0,0,0-20,0.4-0.6,160-200,2,0.0-5.0,0-500,1200-1600,1000-2000,8-11,0.0-5.0,0.0-5.0,1,0,1,0
69,800-1200,0,1.0-1.5,1,0.0-5.0,1,40-60,0.6-0.8,80-120,4,0.0-5.0,0-500,400-800,3000-4000,5-8,0.0-5.0,5.0-10.0,1,1,0,3
70,1200-1600,1,0.5-1.0,1,5.0-10.0,1,40-60,0.6-0.8,120-160,7,10.0-15.0,500-1000,1600-2000,3000-4000,11-14,10.0-15.0,0.0-5.0,1,1,1,3
71,1200-1600,1,2.0-2.5,0,0.0-5.0,1,20-40,0.6-0.8,80-120,4,0.0-5.0,1000-1500,1200-1600,2000-3000,8-11,5.0-10.0,10.0-15.0,1,0,1,2
72,400-800,0,0.5-1.0,0,5.0-10.0,1,0-20,0-0.2,120-160,3,15.0-20.0,0-500,800-1200,0-1000,14-17,5.0-10.0,0.0-5.0,1,0,0,0
73,800-1200,0,1.0-1.5,0,0.0-5.0,0,40-60,0.6-0.8,120-160,1,0.0-5.0,0-500,400-800,3000-4000,8-11,0.0-5.0,10.0-15.0,1,1,1,3
74,400-800,1,2.5-3.0,1,0.0-5.0,0,20-40,0.4-0.6,80-120,4,5.0-10.0,500-1000,1200-1600,0-1000,8-11,0.0-5.0,5.0-10.0,0,1,0,0
75,800-1200,0,0.5-1.0,1,5.0-10.0,1,40-60,0.8-1.0,160-200,6,15.0-20.0,0-500,1200-1600,1000-2000,5-8,0.0-5.0,10.0-15.0,1,0,1,1
76,800-1200,0,2.5-3.0,0,0.0-5.0,1,0-20,0.2-0.4,160-200,3,10.0-15.0,1000-1500,800-1200,0-1000,8-11,5.0-10.0,15.0-20.0,1,1,0,0
77,1200-1600,1,1.5-2.0,1,0.0-5.0,0,20-40,0.4-0.6,160-200,1,0.0-5.0,0-500,400-800,1000-2000,8-11,5.0-10.0,5.0-10.0,0,0,1,0
78,800-1200,1,2.0-2.5,1,10.0-15.0,1,0-20,0-0.2,80-120,4,15.0-20.0,1000-1500,1200-1600,3000-4000,14-17,10.0-15.0,5.0-10.0,1,0,1,3
79,800-1200,0,0.5-1.0,1,5.0-10.0,0,20-40,0.6-0.8,80-120,6,5.0-10.0,500-1000,1200-1600,1000-2000,5-8,5.0-10.0,15.0-20.0,0,1,1,1
80,1200-1600,1,0.5-1.0,1,0.0-5.0,1,40-60,0.8-1.0,80-120,7,5.0-10.0,0-500,1200-1600,3000-4000,17-20,5.0-10.0,5.0-10.0,1,1,1,3
81,800-1200,0,2.5-3.0,1,10.0-15.0,1,60-80,0-0.2,160-200,4,15.0-20.0,1000-1500,1600-2000,2000-3000,11-14,10.0-15.0,15.0-20.0,1,1,0,2
82,1200-1600,1,0.5-1.0,1,0.0-5.0,0,40-60,0.8-1.0,160-200,5,0.0-5.0,500-1000,1600-2000,3000-4000,8-11,5.0-10.0,10.0-15.0,0,1,1,3
83,800-1200,0,0.5-1.0,0,10.0-15.0,0,60-80,0.8-1.0,80-120,3,10.0-15.0,1000-1500,800-1200,2000-3000,8-11,0.0-5.0,10.0-15.0,1,0,0,1
84,800-1200,1,2.5-3.0,1,0.0-5.0,1,40-60,0.6-0.8,160-200,1,10.0-15.0,500-1000,800-1200,2000-3000,8-11,0.0-5.0,15.0-20.0,1,1,1,1
85,1200-1600,1,2.0-2.5,0,0.0-5.0,0,20-40,0.6-0.8,80-120,8,15.0-20.0,500-1000,1600-2000,0-1000,14-17,5.0-10.0,0.0-5.0,0,0,1,1
86,1200-1600,1,1.5-2.0,1,0.0-5.0,0,40-60,0.4-0.6,160-200,5,0.0-5.0,0-500,400-800,0-1000,14-17,0.0-5.0,5.0-10.0,0,1,1,0
87,800-1200,1,2.5-3.0,1,0.0-5.0,1,60-80,0.6-0.8,160-200,3,10.0-15.0,1000-1500,800-1200,3000-4000,11-14,0.0-5.0,0.0-5.0,1,0,0,3
88,400-800,0,0.5-1.0,1,0.0-5.0,0,0-20,0-0.2,120-160,5,10.0-15.0,500-1000,1200-1600,2000-3000,8-11,0.0-5.0,5.0-10.0,1,1,1,2
89,1200-1600,0,1.0-1.5,1,0.0-5.0,0,20-40,0.4-0.6,80-120,4,10.0-15.0,500-1000,1200-1600,2000-3000,8-11,0.0-5.0,10.0-15.0,1,0,1,2
90,1600-2000,0,1.5-2.0,1,0.0-5.0,1,40-60,0.4-0.6,160-200,3,0.0-5.0,1500-2000,1600-2000,2000-3000,17-20,0.0-5.0,15.0-20.0,1,1,0,3
91,1600-2000,1,1.5-2.0,1,5.0-10.0,1,40-60,0.8-1.0,160-200,7,15.0-20.0,1000-1500,1200-1600,1000-2000,17-20,5.0-10.0,10.0-15.0,1,1,0,2
92,800-1200,0,2.0-2.5,1,0.0-5.0,1,0-20,0.2-0.4,80-120,7,0.0-5.0,500-1000,800-1200,1000-2000,14-17,5.0-10.0,0.0-5.0,1,1,1,0
93,800-1200,1,2.0-2.5,0,10.0-15.0,1,0-20,0.6-0.8,80-120,6,10.0-15.0,0-500,800-1200,0-1000,14-17,5.0-10.0,0.0-5.0,1,0,1,0
94,1200-1600,0,1.5-2.0,1,5.0-10.0,0,0-20,0.6-0.8,120-160,3,5.0-10.0,0-500,1600-2000,1000-2000,17-20,15.0-20.0,10.0-15.0,0,1,0,1
95,800-1200,1,0.5-1.0,0,15.0-20.0,0,0-20,0.8-1.0,160-200,3,15.0-20.0,500-1000,800-1200,3000-4000,11-14,0.0-5.0,10.0-15.0,1,1,1,3
96,1200-1600,0,2.0-2.5,0,5.0-10.0,1,20-40,0-0.2,120-160,5,15.0-20.0,500-1000,800-1200,0-1000,17-20,0.0-5.0,5.0-10.0,1,1,0,0
97,1600-2000,1,0.5-1.0,0,0.0-5.0,1,40-60,0-0.2,160-200,6,15.0-20.0,1500-2000,1600-2000,1000-2000,17-20,15.0-20.0,10.0-15.0,1,0,0,2
98,400-800,0,2.0-2.5,0,0.0-5.0,0,20-40,0.6-0.8,120-160,2,0.0-5.0,0-500,800-1200,1000-2000,11-14,0.0-5.0,15.0-20.0,0,1,0,0
99,400-800,0,0.5-1.0,0,5.0-10.0,0,20-40,0.2-0.4,120-160,7,5.0-10.0,1000-1500,1200-1600,1000-2000,5-8,0.0-5.0,5.0-10.0,1,0,0,1
100,1600-2000,1,0.5-1.0,0,0.0-5.0,1,0-20,0.2-0.4,120-160,6,10.0-15.0,500-1000,1600-2000,2000-3000,14-17,5.0-10.0,15.0-20.0,1,0,0,3
101,1600-2000,1,1.0-1.5,0,0.0-5.0,1,0-20,0.6-0.8,80-120,8,5.0-10.0,500-1000,800-1200,1000-2000,14-17,5.0-10.0,10.0-15.0,1,0,1,1
102,400-800,0,0.5-1.0,0,0.0-5.0,0,40-60,0.6-0.8,160-200,5,0.0-5.0,0-500,800-1200,2000-3000,14-17,10.0-15.0,10.0-15.0,1,0,0,1
103,1600-2000,1,2.5-3.0,1,0.0-5.0,1,40-60,0.4-0.6,160-200,4,5.0-10.0,0-500,400-800,1000-2000,11-14,5.0-10.0,15.0-20.0,1,1,0,0
104,400-800,0,2.0-2.5,1,0.0-5.0,1,0-20,0.4-0.6,120-160,7,0.0-5.0,0-500,800-1200,1000-2000,8-11,0.0-5.0,5.0-10.0,1,1,1,0
105,800-1200,0,0.5-1.0,1,0.0-5.0,1,20-40,0.6-0.8,80-120,4,0.0-5.0,0-500,1200-1600,1000-2000,5-8,0.0-5.0,10.0-15.0,1,0,1,1
106,1600-2000,0,1.5-2.0,1,0.0-5.0,0,20-40,0.8-1.0,160-200,5,5.0-10.0,500-1000,1600-2000,2000-3000,11-14,5.0-10.0,10.0-15.0,0,1,1,3
107,1600-2000,1,2.0-2.5,0,0.0-5.0,0,40-60,0-0.2,160-200,5,15.0-20.0,1500-2000,1600-2000,2000-3000,17-20,0.0-5.0,10.0-15.0,1,0,0,3
108,800-1200,1,1.5-2.0,1,0.0-5.0,0,40-60,0.2-0.4,80-120,1,0.0-5.0,0-500,1600-2000,3000-4000,17-20,15.0-20.0,5.0-10.0,1,1,1,3
109,1600-2000,1,1.0-1.5,0,0.0-5.0,0,40-60,0-0.2,160-200,1,5.0-10.0,1500-2000,1600-2000,2000-3000,17-20,10.0-15.0,10.0-15.0,1,1,1,3
110,400-800,0,1.5-2.0,1,0.0-5.0,1,40-60,0.8-1.0,80-120,3,0.0-5.0,1000-1500,1200-1600,2000-3000,14-17,0.0-5.0,15.0-20.0,1,1,0,1
111,400-800,1,2.0-2.5,0,0.0-5.0,0,20-40,0.4-0.6,160-200,7,15.0-20.0,500-1000,800-1200,2000-3000,17-20,10.0-15.0,5.0-10.0,0,0,0,1
112,800-1200,0,1.0-1.5,1,0.0-5.0,1,0-20,0.6-0.8,120-160,6,0.0-5.0,0-500,1600-2000,0-1000,11-14,5.0-10.0,0.0-5.0,1,1,0,0
113,1200-1600,1,1.0-1.5,1,10.0-15.0,0,0-20,0.8-1.0,160-200,5,10.0-15.0,0-500,400-800,3000-4000,5-8,0.0-5.0,0.0-5.0,1,1,0,2
114,1600-2000,0,0.5-1.0,0,5.0-10.0,1,20-40,0.4-0.6,120-160,7,15.0-20.0,1000-1500,1200-1600,3000-4000,8-11,0.0-5.0,15.0-20.0,1,0,1,3
115,1600-2000,1,2.0-2.5,0,0.0-5.0,1,0-20,0-0.2,80-120,7,5.0-10.0,1000-1500,1600-2000,2000-3000,11-14,0.0-5.0,10.0-15.0,1,1,1,3
116,800-1200,1,1.0-1.5,0,0.0-5.0,0,40-60,0.2-0.4,80-120,8,0.0-5.0,500-1000,800-1200,3000-4000,11-14,5.0-10.0,0.0-5.0,1,0,0,2
117,800-1200,1,2.5-3.0,0,0.0-5.0,1,20-40,0.8-1.0,80-120,3,10.0-15.0,0-500,400-800,1000-2000,14-17,0.0-5.0,5.0-10.0,1,1,0,1
118,1200-1600,0,1.0-1.5,1,5.0-10.0,0,40-60,0.8-1.0,160-200,1,10.0-15.0,0-500,800-1200,0-1000,5-8,0.0-5.0,5.0-10.0,0,1,0,0
119,1600-2000,0,0.5-1.0,0,0.0-5.0,0,0-20,0.4-0.6,80-120,3,0.0-5.0,1000-1500,1600-2000,1000-2000,5-8,0.0-5.0,10.0-15.0,1,0,0,1
120,1600-2000,1,1.5-2.0,1,0.0-5.0,0,0-20,0.2-0.4,160-200,8,5.0-10.0,500-1000,1200-1600,2000-3000,11-14,5.0-10.0,5.0-10.0,0,1,0,2
121,400-800,1,2.0-2.5,1,0.0-5.0,1,0-20,0.4-0.6,80-120,4,0.0-5.0,1000-1500,1600-2000,3000-4000,17-20,10.0-15.0,0.0-5.0,1,1,0,3
122,800-1200,1,0.5-1.0,1,5.0-10.0,0,40-60,0.8-1.0,120-160,3,5.0-10.0,500-1000,800-1200,3000-4000,8-11,0.0-5.0,5.0-10.0,0,1,0,3
123,1200-1600,0,1.0-1.5,0,0.0-5.0,1,20-40,0.6-0.8,160-200,2,5.0-10.0,500-1000,1200-1600,3000-4000,5-8,0.0-5.0,15.0-20.0,1,1,1,3
124,800-1200,0,1.5-2.0,0,0.0-5.0,1,20-40,0.6-0.8,160-200,5,0.0-5.0,0-500,1200-1600,2000-3000,11-14,0.0-5.0,10.0-15.0,1,0,0,2
125,1600-2000,0,2.5-3.0,0,0.0-5.0,0,0-20,0.4-0.6,80-120,1,15.0-20.0,500-1000,800-1200,3000-4000,17-20,10.0-15.0,5.0-10.0,0,0,1,3
126,800-1200,1,2.0-2.5,1,0.0-5.0,1,40-60,0.2-0.4,80-120,4,0.0-5.0,0-500,400-800,2000-3000,8-11,0.0-5.0,15.0-20.0,1,0,1,2
127,1200-1600,0,2.0-2.5,0,0.0-5.0,1,20-40,0.4-0.6,160-200,6,15.0-20.0,1000-1500,1600-2000,1000-2000,5-8,0.0-5.0,5.0-10.0,1,1,1,1
128,1600-2000,0,0.5-1.0,1,10.0-15.0,0,20-40,0.4-0.6,160-200,3,15.0-20.0,0-500,1600-2000,3000-4000,11-14,0.0-5.0,5.0-10.0,1,0,1,3
129,1200-1600,0,1.0-1.5,0,0.0-5.0,1,0-20,0-0.2,80-120,6,0.0-5.0,500-1000,1200-1600,0-1000,11-14,5.0-10.0,10.0-15.0,1,1,0,0
130,1200-1600,0,1.5-2.0,1,0.0-5.0,0,40-60,0.6-0.8,80-120,7,0.0-5.0,0-500,800-1200,3000-4000,14-17,5.0-10.0,5.0-10.0,1,0,1,3
131,1600-2000,0,2.0-2.5,1,5.0-10.0,0,0-20,0-0.2,160-200,1,10.0-15.0,500-1000,400-800,1000-2000,5-8,0.0-5.0,15.0-20.0,1,1,1,1
132,400-800,0,0.5-1.0,0,0.0-5.0,0,40-60,0.8-1.0,160-200,7,5.0-10.0,0-500,400-800,2000-3000,11-14,5.0-10.0,0.0-5.0,1,1,1,2
133,400-800,0,2.5-3.0,1,5.0-10.0,0,20-40,0-0.2,160-200,8,10.0-15.0,500-1000,800-1200,2000-3000,8-11,0.0-5.0,5.0-10.0,1,1,1,1
134,1600-2000,1,1.0-1.5,1,0.0-5.0,0,20-40,0.6-0.8,80-120,4,0.0-5.0,0-500,1200-1600,2000-3000,11-14,5.0-10.0,15.0-20.0,0,0,0,2
135,1200-1600,1,0.5-1.0,0,0.0-5.0,0,0-20,0.4-0.6,80-120,5,0.0-5.0,0-500,1200-1600,2000-3000,11-14,0.0-5.0,5.0-10.0,0,0,1,2
136,1200-1600,1,2.0-2.5,1,0.0-5.0,0,20-40,0.8-1.0,120-160,6,5.0-10.0,500-1000,400-800,2000-3000,17-20,0.0-5.0,0.0-5.0,1,0,0,1
137,800-1200,0,0.5-1.0,1,0.0-5.0,1,40-60,0.4-0.6,160-200,8,5.0-10.0,500-1000,1600-2000,3000-4000,11-14,10.0-15.0,0.0-5.0,1,1,1,3
138,400-800,0,2.0-2.5,1,10.0-15.0,1,0-20,0.2-0.4,160-200,7,10.0-15.0,1000-1500,1200-1600,0-1000,11-14,5.0-10.0,0.0-5.0,1,1,0,0
