,status_of_existing_checking_account,duration_(months),credit_history,purpose,credit_amount,savings_account/bonds,present_employment_since,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_of_existing_credits,job,no._of_people_being_liable_to_provide_maintenance,telephone,foreign_worker,class
99,A12,10-20,A33,A41,5000-7500,A65,A74,3,A93,A101,4,A122,30-40,A141,A151,2,A174,2,A192,A201,1
100,A14,20-30,A32,A40,0-2500,A62,A75,4,A94,A101,4,A121,40-50,A143,A151,1,A172,1,A191,A201,1
101,A12,30-40,A32,A43,0-2500,A61,A74,4,A93,A101,4,A123,20-30,A143,A151,1,A173,1,A191,A201,1
102,A14,0-10,A33,A43,0-2500,A61,A73,3,A92,A101,2,A121,20-30,A143,A152,1,A173,1,A191,A201,1
103,A12,0-10,A34,A42,0-2500,A61,A74,4,A93,A101,3,A123,30-40,A143,A151,1,A173,1,A192,A201,1
104,A14,10-20,A32,A41,0-2500,A65,A72,2,A94,A101,4,A123,20-30,A143,A151,1,A173,1,A192,A201,1
105,A12,20-30,A34,A410,10000-12500,A61,A73,2,A93,A102,3,A123,30-40,A143,A152,2,A174,2,A192,A201,2
106,A14,10-20,A31,A40,5000-7500,A61,A75,2,A93,A101,4,A124,30-40,A141,A152,2,A174,2,A192,A201,2
107,A12,10-20,A32,A40,5000-7500,A61,A74,2,A93,A101,2,A123,30-40,A143,A152,1,A173,1,A191,A201,1
108,A11,20-30,A32,A42,7500-10000,A65,A72,1,A92,A101,2,A122,20-30,A143,A152,1,A173,1,A192,A202,1
109,A12,10-20,A32,A49,0-2500,A63,A75,1,A94,A101,2,A121,30-40,A143,A152,1,A173,1,A192,A201,1
110,A12,0-10,A33,A49,0-2500,A62,A75,1,A91,A101,2,A123,30-40,A141,A152,2,A173,2,A191,A201,1
111,A13,10-20,A32,A46,0-2500,A61,A72,4,A92,A101,4,A122,20-30,A143,A151,1,A173,1,A192,A201,1
112,A12,10-20,A32,A40,5000-7500,A61,A74,3,A93,A101,3,A121,20-30,A143,A151,1,A172,1,A191,A201,1
113,A14,30-40,A34,A40,7500-10000,A61,A73,4,A92,A101,2,A121,20-30,A142,A152,2,A173,1,A192,A201,2
114,A11,10-20,A32,A43,0-2500,A63,A75,3,A94,A101,1,A121,30-40,A143,A152,1,A173,1,A191,A201,1
115,A14,40-50,A34,A43,2500-5000,A65,A75,4,A93,A101,1,A121,40-50,A143,A152,1,A173,1,A192,A201,1
116,A11,40-50,A32,A43,5000-7500,A65,A74,4,A92,A101,3,A123,20-30,A143,A152,1,A174,1,A192,A201,2
117,A11,0-10,A34,A42,0-2500,A65,A72,2,A92,A102,3,A121,20-30,A143,A151,2,A173,1,A191,A202,1
118,A11,30-40,A34,A42,2500-5000,A63,A73,1,A92,A101,4,A123,20-30,A143,A152,2,A173,1,A191,A201,2
119,A12,10-20,A34,A40,0-2500,A63,A74,3,A91,A101,3,A123,30-40,A143,A152,1,A174,1,A192,A201,1
120,A11,20-30,A32,A43,0-2500,A61,A73,3,A92,A101,2,A121,20-30,A143,A152,2,A173,1,A192,A201,2
121,A14,20-30,A34,A41,2500-5000,A61,A75,4,A92,A101,2,A123,40-50,A143,A151,2,A174,1,A192,A201,1
122,A14,10-20,A32,A42,0-2500,A61,A73,3,A93,A101,2,A121,20-30,A143,A151,1,A172,1,A191,A201,1
123,A13,0-10,A34,A40,0-2500,A61,A75,4,A93,A101,4,A124,60-70,A143,A153,2,A173,1,A192,A201,1
124,A12,10-20,A32,A42,0-2500,A65,A72,4,A92,A101,3,A121,20-30,A143,A151,1,A173,1,A191,A201,2
125,A11,10-20,A34,A40,0-2500,A61,A73,4,A93,A101,2,A122,20-30,A143,A152,2,A173,1,A191,A201,1
126,A11,10-20,A32,A43,0-2500,A61,A73,4,A94,A101,2,A121,30-40,A143,A152,1,A172,1,A191,A201,1
127,A12,10-20,A32,A45,0-2500,A61,A73,4,A93,A101,2,A123,20-30,A143,A152,1,A173,1,A191,A201,2
128,A12,10-20,A34,A41,0-2500,A61,A71,4,A93,A101,2,A123,30-40,A143,A152,2,A174,1,A192,A201,1
129,A11,10-20,A34,A40,2500-5000,A61,A73,3,A92,A102,2,A121,20-30,A143,A152,2,A173,1,A191,A201,2
130,A12,40-50,A32,A40,7500-10000,A65,A74,1,A92,A101,2,A123,20-30,A143,A152,1,A173,1,A191,A201,1
131,A11,30-40,A33,A46,5000-7500,A61,A73,4,A93,A101,3,A122,20-30,A142,A152,1,A173,1,A192,A201,2
132,A14,10-20,A32,A42,2500-5000,A61,A72,2,A93,A101,3,A122,20-30,A141,A152,2,A172,1,A191,A201,1
133,A14,10-20,A32,A42,0-2500,A61,A73,4,A93,A101,4,A124,40-50,A141,A153,2,A173,1,A191,A201,1
134,A14,50-60,A32,A43,10000-12500,A62,A74,2,A92,A101,4,A121,20-30,A143,A152,1,A173,1,A192,A201,1
135,A14,10-20,A34,A43,0-2500,A65,A75,4,A92,A101,2,A121,30-40,A143,A152,2,A173,1,A192,A201,1
136,A14,20-30,A33,A41,7500-10000,A64,A73,2,A93,A101,2,A123,20-30,A143,A152,2,A173,1,A191,A201,1
137,A12,10-20,A32,A43,0-2500,A63,A73,4,A93,A101,3,A121,60-70,A143,A152,1,A172,1,A191,A201,2
138,A12,10-20,A34,A43,2500-5000,A65,A74,4,A93,A103,2,A121,30-40,A141,A152,3,A173,1,A192,A201,1
139,A13,10-20,A32,A43,0-2500,A61,A73,2,A92,A101,2,A123,40-50,A143,A151,1,A172,1,A192,A201,1
140,A13,0-10,A32,A40,0-2500,A64,A72,2,A94,A101,2,A121,20-30,A143,A152,1,A171,1,A191,A202,1
141,A12,30-40,A32,A43,2500-5000,A61,A72,4,A92,A101,1,A124,20-30,A143,A152,1,A174,1,A192,A201,1
142,A11,20-30,A32,A43,2500-5000,A61,A73,3,A93,A101,2,A123,20-30,A143,A152,1,A174,1,A191,A201,1
143,A11,10-20,A32,A42,0-2500,A61,A73,2,A93,A101,2,A123,20-30,A143,A152,1,A173,1,A191,A201,2
144,A14,20-30,A34,A42,0-2500,A61,A72,4,A92,A101,4,A122,20-30,A143,A152,1,A173,1,A192,A201,1
145,A12,40-50,A31,A49,2500-5000,A62,A74,4,A93,A101,2,A123,20-30,A143,A152,1,A173,1,A191,A201,1
146,A11,0-10,A34,A40,0-2500,A61,A75,1,A92,A101,4,A124,30-40,A143,A152,2,A173,1,A192,A201,1
147,A14,10-20,A34,A40,0-2500,A62,A74,4,A92,A101,3,A123,50-60,A143,A152,2,A173,1,A192,A201,1
148,A11,30-40,A34,A42,5000-7500,A61,A73,3,A93,A103,2,A122,20-30,A143,A152,2,A173,1,A191,A201,1
149,A14,10-20,A34,A43,0-2500,A64,A75,4,A93,A101,4,A123,40-50,A143,A152,2,A173,1,A191,A201,1
150,A14,0-10,A32,A43,0-2500,A62,A75,2,A93,A101,4,A124,40-50,A141,A153,1,A173,2,A192,A201,1
151,A14,0-10,A32,A43,0-2500,A61,A73,1,A93,A101,4,A122,30-40,A143,A152,1,A173,1,A192,A202,1
152,A13,30-40,A32,A43,5000-7500,A61,A73,4,A93,A101,1,A123,20-30,A143,A152,1,A173,1,A191,A201,1
153,A12,20-30,A34,A41,7500-10000,A64,A75,2,A92,A101,4,A124,20-30,A143,A151,1,A173,1,A191,A201,1
154,A12,20-30,A33,A49,5000-7500,A62,A74,4,A93,A101,4,A123,30-40,A143,A151,1,A174,1,A192,A201,1
155,A11,10-20,A32,A42,0-2500,A61,A73,2,A92,A101,4,A123,10-20,A143,A151,1,A173,1,A191,A201,2
156,A11,0-10,A34,A45,0-2500,A62,A75,3,A93,A103,4,A121,40-50,A143,A152,2,A173,2,A191,A202,1
157,A11,10-20,A31,A48,0-2500,A61,A75,4,A94,A101,1,A123,40-50,A141,A152,1,A172,1,A191,A201,1
158,A12,20-30,A32,A40,2500-5000,A62,A74,2,A93,A101,3,A123,30-40,A141,A152,2,A173,1,A192,A201,1
159,A14,0-10,A34,A43,0-2500,A65,A73,1,A93,A101,2,A121,30-40,A143,A152,2,A172,2,A191,A201,1
160,A14,20-30,A34,A43,2500-5000,A62,A75,3,A93,A101,4,A121,30-40,A143,A152,1,A173,2,A192,A201,1
161,A14,10-20,A34,A40,0-2500,A61,A72,4,A92,A101,1,A122,20-30,A143,A152,2,A173,1,A191,A201,1
162,A14,10-20,A32,A44,0-2500,A63,A74,4,A93,A101,3,A122,30-40,A143,A152,2,A173,1,A192,A201,1
163,A12,0-10,A32,A40,5000-7500,A61,A71,2,A93,A101,4,A124,60-70,A141,A153,1,A174,1,A192,A201,1
164,A14,30-40,A32,A40,0-2500,A63,A75,4,A93,A101,4,A122,30-40,A143,A152,1,A173,1,A191,A201,1
165,A14,0-10,A32,A42,2500-5000,A63,A73,1,A93,A101,2,A123,30-40,A143,A152,1,A173,1,A192,A201,1
166,A11,10-20,A32,A42,0-2500,A61,A71,4,A92,A101,2,A123,30-40,A143,A152,1,A173,1,A191,A201,2
167,A12,10-20,A32,A42,0-2500,A64,A72,4,A92,A101,1,A121,10-20,A143,A152,1,A173,1,A191,A201,1
168,A14,20-30,A32,A42,2500-5000,A61,A74,2,A92,A101,4,A122,20-30,A143,A151,1,A173,1,A192,A201,1
169,A12,20-30,A34,A49,0-2500,A61,A75,4,A91,A101,4,A121,30-40,A143,A152,2,A173,1,A192,A201,2
170,A11,10-20,A30,A40,0-2500,A61,A75,4,A93,A101,3,A123,30-40,A143,A151,2,A173,2,A191,A201,2
171,A14,10-20,A32,A42,0-2500,A61,A73,4,A92,A101,1,A121,20-30,A143,A152,1,A173,1,A192,A201,1
172,A12,20-30,A33,A42,0-2500,A61,A71,3,A92,A101,2,A122,30-40,A143,A152,1,A174,1,A192,A201,2
173,A12,0-10,A32,A43,0-2500,A61,A73,4,A93,A103,2,A121,30-40,A143,A152,1,A173,1,A191,A202,1
174,A11,20-30,A33,A46,2500-5000,A61,A72,2,A93,A101,1,A122,20-30,A143,A152,2,A173,1,A191,A201,2
175,A14,20-30,A31,A41,5000-7500,A65,A71,4,A92,A101,1,A121,50-60,A141,A152,1,A174,1,A192,A201,2
176,A11,10-20,A32,A42,2500-5000,A61,A73,2,A91,A101,1,A123,40-50,A143,A152,1,A173,1,A191,A201,1
177,A11,0-10,A34,A43,0-2500,A63,A75,4,A93,A101,4,A123,50-60,A143,A152,2,A173,1,A191,A201,1
178,A14,10-20,A32,A43,0-2500,A61,A74,4,A93,A101,2,A123,30-40,A143,A151,2,A174,2,A192,A201,1
179,A11,20-30,A34,A40,0-2500,A61,A75,4,A93,A101,4,A121,60-70,A143,A152,2,A173,1,A191,A201,1
180,A14,30-40,A33,A49,7500-10000,A61,A72,1,A91,A101,1,A123,20-30,A143,A152,2,A173,1,A191,A201,2
181,A12,30-40,A33,A49,2500-5000,A61,A73,2,A91,A101,2,A121,20-30,A142,A152,2,A174,1,A192,A201,2
182,A11,20-30,A31,A40,0-2500,A65,A73,4,A93,A101,2,A122,30-40,A143,A152,2,A172,2,A191,A201,2
183,A14,20-30,A34,A42,2500-5000,A64,A73,4,A93,A101,4,A121,40-50,A143,A152,1,A173,1,A192,A201,1
184,A12,10-20,A34,A40,0-2500,A61,A75,4,A93,A101,4,A123,30-40,A141,A152,1,A173,2,A192,A201,2
185,A14,10-20,A34,A43,0-2500,A61,A73,4,A93,A101,2,A122,30-40,A143,A152,2,A173,1,A191,A201,1
186,A12,0-10,A31,A41,5000-7500,A61,A75,2,A92,A101,4,A124,70-80,A141,A153,1,A174,2,A192,A201,2
187,A12,10-20,A34,A40,0-2500,A61,A71,2,A93,A101,3,A123,60-70,A143,A153,3,A171,1,A192,A201,1
188,A11,10-20,A32,A43,0-2500,A62,A74,4,A94,A101,1,A122,10-20,A143,A152,1,A173,1,A191,A201,2
189,A12,10-20,A30,A42,2500-5000,A61,A73,1,A92,A101,4,A123,30-40,A141,A152,2,A173,1,A192,A201,1
190,A14,20-30,A32,A49,2500-5000,A64,A73,2,A93,A101,3,A122,50-60,A143,A152,3,A174,1,A192,A201,2
191,A12,40-50,A30,A49,2500-5000,A62,A74,4,A93,A101,4,A124,30-40,A143,A153,1,A172,2,A191,A201,2
192,A12,20-30,A32,A49,2500-5000,A61,A73,4,A93,A101,2,A123,30-40,A143,A152,1,A173,2,A192,A201,2
193,A14,0-10,A32,A43,0-2500,A61,A74,2,A94,A101,2,A121,20-30,A143,A151,1,A173,1,A191,A201,1
194,A12,40-50,A32,A43,2500-5000,A62,A73,4,A93,A103,4,A122,20-30,A143,A151,1,A173,1,A191,A201,2
195,A12,0-10,A34,A46,0-2500,A61,A75,2,A92,A101,3,A123,30-40,A143,A152,2,A174,1,A192,A201,2
196,A14,0-10,A34,A43,0-2500,A61,A73,1,A92,A101,1,A123,20-30,A143,A152,2,A173,1,A192,A201,1
197,A12,10-20,A32,A42,0-2500,A62,A72,4,A92,A101,4,A123,20-30,A141,A151,4,A173,1,A191,A201,2
198,A12,20-30,A32,A41,2500-5000,A65,A75,4,A93,A101,4,A124,30-40,A141,A153,1,A173,1,A192,A201,1
199,A12,10-20,A33,A42,2500-5000,A61,A75,4,A91,A101,3,A124,30-40,A143,A152,1,A174,1,A192,A201,2
200,A14,0-10,A34,A46,0-2500,A63,A75,4,A93,A101,2,A123,50-60,A143,A152,2,A173,1,A192,A201,1
201,A11,10-20,A32,A40,0-2500,A61,A73,4,A94,A101,3,A121,20-30,A143,A152,1,A172,1,A191,A201,1
202,A14,20-30,A33,A49,5000-7500,A61,A74,3,A93,A101,4,A123,20-30,A143,A152,2,A173,1,A191,A201,1
203,A11,10-20,A32,A48,0-2500,A61,A74,4,A94,A101,4,A122,20-30,A143,A151,1,A173,1,A191,A201,2
204,A14,10-20,A34,A40,0-2500,A61,A75,4,A93,A101,1,A121,30-40,A143,A152,2,A172,2,A191,A201,1
205,A11,20-30,A34,A41,10000-12500,A61,A75,3,A93,A101,4,A124,30-40,A143,A153,3,A174,2,A192,A201,1
206,A14,10-20,A34,A42,0-2500,A61,A75,4,A93,A101,4,A121,40-50,A143,A152,3,A173,1,A192,A201,1
207,A12,10-20,A34,A44,0-2500,A61,A74,4,A93,A101,3,A122,20-30,A143,A152,1,A173,1,A191,A201,1
208,A11,20-30,A32,A49,5000-7500,A61,A73,2,A94,A101,2,A123,20-30,A142,A152,1,A172,1,A191,A201,1
209,A14,10-20,A32,A41,0-2500,A64,A74,3,A93,A101,2,A122,50-60,A143,A152,1,A173,1,A191,A202,1
210,A14,0-10,A34,A43,2500-5000,A65,A73,1,A93,A101,2,A121,30-40,A143,A152,2,A173,2,A191,A201,1
211,A14,30-40,A32,A43,2500-5000,A65,A75,2,A92,A101,4,A121,40-50,A143,A152,1,A172,1,A192,A201,1
212,A11,20-30,A30,A49,5000-7500,A61,A71,2,A93,A101,4,A122,40-50,A142,A152,2,A173,1,A192,A201,2
